# STATION: MTMET
# STATION NAME: U of U Mountain Met Lab
# LATITUDE: 40.766573
# LONGITUDE: -111.828211
# ELEVATION [ft]: 4996
# STATE: UT
Station_ID,Date_Time,ozone_concentration_set_1
,,ppb
MTMET,2017-09-02T09:07:00Z,
MTMET,2017-09-02T09:08:00Z,
MTMET,2017-09-02T09:09:00Z,
MTMET,2017-09-02T09:10:00Z,60.84
MTMET,2017-09-02T09:11:00Z,
MTMET,2017-09-02T09:12:00Z,
MTMET,2017-09-02T09:13:00Z,
MTMET,2017-09-02T09:14:00Z,
MTMET,2017-09-02T09:15:00Z,57.92
MTMET,2017-09-02T09:16:00Z,
MTMET,2017-09-02T09:17:00Z,
MTMET,2017-09-02T09:18:00Z,
MTMET,2017-09-02T09:19:00Z,
MTMET,2017-09-02T09:20:00Z,60.64
MTMET,2017-09-02T09:21:00Z,
MTMET,2017-09-02T09:22:00Z,
MTMET,2017-09-02T09:23:00Z,
MTMET,2017-09-02T09:24:00Z,
MTMET,2017-09-02T09:25:00Z,60.26
MTMET,2017-09-02T09:26:00Z,
MTMET,2017-09-02T09:27:00Z,
MTMET,2017-09-02T09:28:00Z,
MTMET,2017-09-02T09:29:00Z,
MTMET,2017-09-02T09:30:00Z,60.1
MTMET,2017-09-02T09:31:00Z,
MTMET,2017-09-02T09:32:00Z,
MTMET,2017-09-02T09:33:00Z,
MTMET,2017-09-02T09:34:00Z,
MTMET,2017-09-02T09:35:00Z,60.21
MTMET,2017-09-02T09:36:00Z,
MTMET,2017-09-02T09:37:00Z,
MTMET,2017-09-02T09:38:00Z,
MTMET,2017-09-02T09:39:00Z,
MTMET,2017-09-02T09:40:00Z,59.38
MTMET,2017-09-02T09:41:00Z,
MTMET,2017-09-02T09:42:00Z,
MTMET,2017-09-02T09:43:00Z,
MTMET,2017-09-02T09:44:00Z,
MTMET,2017-09-02T09:45:00Z,59.46
MTMET,2017-09-02T09:46:00Z,
MTMET,2017-09-02T09:47:00Z,
MTMET,2017-09-02T09:48:00Z,
MTMET,2017-09-02T09:49:00Z,
MTMET,2017-09-02T09:50:00Z,59.88
MTMET,2017-09-02T09:51:00Z,
MTMET,2017-09-02T09:52:00Z,
MTMET,2017-09-02T09:53:00Z,
MTMET,2017-09-02T09:54:00Z,
MTMET,2017-09-02T09:55:00Z,59.57
MTMET,2017-09-02T09:56:00Z,
MTMET,2017-09-02T09:57:00Z,
MTMET,2017-09-02T09:58:00Z,
MTMET,2017-09-02T09:59:00Z,
MTMET,2017-09-02T10:00:00Z,59.17
MTMET,2017-09-02T10:01:00Z,
MTMET,2017-09-02T10:02:00Z,
MTMET,2017-09-02T10:03:00Z,
MTMET,2017-09-02T10:04:00Z,
MTMET,2017-09-02T10:05:00Z,59.77
MTMET,2017-09-02T10:06:00Z,
MTMET,2017-09-02T10:07:00Z,
